arrival_info,stop_number,stop_name,stop_id,latitude,longitude
3分鐘,11,文山國中,2315200800,24.955388,121.539103
3分鐘,12,碧潭,2315203300,24.956689,121.538524
4分鐘,13,捷運新店站(北新路),2314700800,24.958891,121.538126
5分鐘,14,碧潭橋頭,2314701600,24.963158,121.53982
5分鐘,15,檳榔路,2314702000,24.965001,121.5405875
6分鐘,16,捷運新店區公所站(北新),2314700900,24.967638,121.5416161
8分鐘,17,七張(北新路),2314300000,24.971513,121.542921
10分鐘,18,捷運七張站,2314301100,24.9753,121.5430453
11分鐘,19,新店郵局,2314301700,24.978161,121.542795
12分鐘,20,大坪林,2314300100,24.981232,121.5418387
14分鐘,21,捷運大坪林站,2314301200,24.983344,121.5413983
4分鐘,26,捷運萬隆站,1167000300,25.001386,121.5392576
5分鐘,27,武功國小(羅斯福),1168100100,25.003273,121.5387822
6分鐘,28,師大分部,1168100200,25.006894,121.53901
9分鐘,29,公館,1067300020,25.012096,121.5385308
10分鐘,30,臺灣科技大學,1060700020,25.013453,121.5401488
11分鐘,31,臺大癌醫(基隆路),1067200720,25.015521,121.5425256
11分鐘,32,基隆長興街口,1067200320,25.017425,121.5448494
13分鐘,33,和平高中,1105200100,25.01963,121.54746
5分鐘,36,三興國小(臨江街觀光夜市),1105300100,25.028574,121.557017
6分鐘,37,吳興街口,1105200000,25.031596,121.5588464
7分鐘,38,世貿中心(基隆路),1105100100,25.033677,121.5601565
8分鐘,39,市政府(松壽),1105100320,25.035836,121.5648932
